HORA	PERFIL	X	Y	C	HORA_DRON	R	G	B
10:58:14	2	308706.6709	4516531.087	4.55	11:00	133	141	126
11:01:11	3	308700.2744	4516537.733	6.75	11:00	140	139	135
11:22:07	8	308673.1558	4516532.262	20.42	11:16	181	146	142
11:30:29	10	308671.0843	4516515.652	32.72	11:31	187	131	130
11:47:09	14	308677.6498	4516488.327	23.36	11:50	146	103	96
11:51:20	15	308662.7341	4516492.106	37.36	11:50	135	119	104
11:53:24	16	308644.6003	4516498.439	47.78	11:50	167	106	101
12:00:52	18	308615.1568	4516530.059	30.09	12:01	204	124	115
12:03:23	19	308615.3004	4516535.61	21.43	12:01	197	120	104
12:32:31	21	308686.3619	4516516.8	66.16	12:23	172	94	90
12:44:47	25	308605.4949	4516582.769	9.13	12:46	132	113	106
12:48:30	26	308571.3745	4516605.87	33.28	12:46	168	107	102
13:09:07	32	308454.6058	4516562.604	2.31	13:12	134	137	106
13:13:36	33	308497.8817	4516548.831	13.33	13:12	156	121	101
